Referencia credito,FGA,Agosto,fact Septiembre,Dif,Comentatario,fecha-corte
26823197,"20,706",-20555, - ,151,Dif YA facturada y pagada FGA  Agosto,2023-08-31
56584874,"18,445",-18229, - ,216,Dif YA facturada y pagada FGA  Agosto,2023-08-31
78246914,"20,944",-20595, - ,349,Dif YA facturada y pagada FGA  Agosto,2023-08-31
29788951,"14,280",-10953, - ,"3,327",Dif YA facturada y pagada FGA  Agosto,2023-08-31
68978556,"19,635",-19238, - ,397,Dif YA facturada y pagada FGA  Agosto,2023-08-31
55836532,"17,136",-16863, - ,273,Dif YA facturada y pagada FGA  Agosto,2023-08-31
78778128,"18,207",-6938, - ,"11,269",Dif YA facturada y pagada FGA  Agosto,2023-08-31
26818962,"18,445",-18217, - ,228,Dif YA facturada y pagada FGA  Agosto,2023-08-31
76836995,"16,184",-15973, - ,211,Dif YA facturada y pagada FGA  Agosto,2023-08-31
26884568,"20,706",-14251, - ,"6,455",Dif YA facturada y pagada FGA  Agosto,2023-08-31
26239921,"16,660",-15219, - ,"1,441",Dif YA facturada y pagada FGA  Agosto,2023-08-31
65378833,"18,921",-17348, - ,"1,573",Dif YA facturada y pagada FGA  Agosto,2023-08-31
81845832,"19,159",-19089, - ,70,Dif YA facturada y pagada FGA  Agosto,2023-08-31
18763386,"22,848",-22558, - ,290,Dif YA facturada y pagada FGA  Agosto,2023-08-31
48464131,"9,282",-9187, - ,95,Dif YA facturada y pagada FGA  Agosto,2023-08-31
49898576,"19,040",-17687, - ,"1,353",Dif YA facturada y pagada FGA  Agosto,2023-08-31
59278366,"16,660",-8956, - ,"7,704",Dif YA facturada y pagada FGA  Agosto,2023-08-31
65963931,"21,658",-21478, - ,180,Dif YA facturada y pagada FGA  Agosto,2023-08-31
51933387,"17,850",-17829, - ,21,Dif YA facturada y pagada FGA  Agosto,2023-08-31
25764493,"15,708",-10171, - ,"5,537",Dif YA facturada y pagada FGA  Agosto,2023-08-31
71991869,"17,850",-14321, - ,"3,529",Dif YA facturada y pagada FGA  Agosto,2023-08-31
