pagare,fecha_corte,valor_comision_reportado
57717286,2023-10-31,15088
64881326,2023-10-31,14628
85514276,2023-10-31,11040
73213295,2023-10-31,13800
95389338,2023-10-31,12750
94473525,2023-10-31,11592
57434781,2023-10-31,7084
48719226,2023-10-31,8000
56232657,2023-10-31,17020
67917455,2023-10-31,17500
74448135,2023-10-31,9936
36537982,2023-10-31,15732
17454112,2023-10-31,8500
23556694,2023-10-31,19600
52312619,2023-10-31,13800
75415159,2023-10-31,12144
45851367,2023-10-31,18500
73842471,2023-10-31,7800
27964776,2023-10-31,16150
48232817,2023-10-31,6992
36236991,2023-10-31,7084
86237862,2023-10-31,7360
68297859,2023-10-31,14200
16847741,2023-10-31,19200
83236949,2023-10-31,18216
93458125,2023-10-31,15000
83149385,2023-10-31,12410
58267292,2023-10-31,14720
66619997,2023-10-31,11224
46982915,2023-10-31,13800
88293732,2023-10-31,15456
69573928,2023-10-31,13600
17377381,2023-10-31,9100
67454315,2023-10-31,14904
36264195,2023-10-31,18500
91168829,2023-10-31,12144
38617617,2023-10-31,7480
47482754,2023-10-31,3818
66413351,2023-10-31,17480
81786864,2023-10-31,11900
66743443,2023-10-31,14904
57555811,2023-10-31,7544
11964339,2023-10-31,14628
11632965,2023-10-31,15824
45566774,2023-10-31,33888
15656648,2023-10-31,5950
81971664,2023-10-31,8000
57832793,2023-10-31,15732
41951985,2023-10-31,16192
73826142,2023-10-31,11040
26339317,2023-10-31,12750
82559449,2023-10-31,12600
18527859,2023-10-31,15600
92526635,2023-10-31,12696
45956211,2023-10-31,14720
96688547,2023-10-31,8096
22793691,2023-10-31,8280
96587347,2023-10-31,12880
37319842,2023-10-31,11040
85463899,2023-10-31,15732
98828949,2023-10-31,6992
21515118,2023-10-31,11224
47119658,2023-10-31,17255
75879341,2023-10-31,11040
75685753,2023-10-31,13200
71921876,2023-10-31,15824
11343236,2023-10-31,5950
53116611,2023-10-31,13600
45384351,2023-10-31,8750
64538659,2023-10-31,15456
92216127,2023-10-31,12880
91686684,2023-10-31,15895
76576817,2023-10-31,18900
15921461,2023-10-31,11900
36528352,2023-10-31,14076
89493539,2023-10-31,9500
84878745,2023-10-31,16200
41787216,2023-10-31,17700
66916169,2023-10-31,9250
84632131,2023-10-31,13064
26914424,2023-10-31,14720
16555283,2023-10-31,9016
33666778,2023-10-31,16500
71969616,2023-10-31,11960
95277171,2023-10-31,17020
12661127,2023-10-31,11040
71225581,2023-10-31,17480
94587174,2023-10-31,14352
69927513,2023-10-31,14628
23152448,2023-10-31,7820
48382349,2023-10-31,11375
34334699,2023-10-31,8556
14573426,2023-10-31,10000
48415475,2023-10-31,20300
32845314,2023-10-31,13432
18167457,2023-10-31,13515
68852936,2023-10-31,12400
23971969,2023-10-31,15180
96713291,2023-10-31,13800
27395919,2023-10-31,9250
12558338,2023-10-31,11592
48134239,2023-10-31,11408
84968131,2023-10-31,14000
77754789,2023-10-31,10725
86644519,2023-10-31,18032
91254166,2023-10-31,13800
93184311,2023-10-31,6900
54178831,2023-10-31,5330
86381112,2023-10-31,13800
44965691,2023-10-31,7728
21172664,2023-10-31,13432
54273417,2023-10-31,7000
53335199,2023-10-31,10200
37361112,2023-10-31,13800
92886199,2023-10-31,15640
95896737,2023-10-31,10725
31142943,2023-10-31,16100
43199265,2023-10-31,16928
63932337,2023-10-31,11224
64879869,2023-10-31,13800
66971857,2023-10-31,16284
39573158,2023-10-31,14076
49138744,2023-10-31,13800
57437649,2023-10-31,15824
89695387,2023-10-31,14076
77746762,2023-10-31,12880
93738928,2023-10-31,13248
66953469,2023-10-31,14812
51623558,2023-10-31,9100
21779735,2023-10-31,14875
12975184,2023-10-31,14076
75891191,2023-10-31,11960
54297141,2023-10-31,14720
17953772,2023-10-31,9750
77741691,2023-10-31,16000
32765495,2023-10-31,16928
51448489,2023-10-31,13248
35534844,2023-10-31,16928
44534592,2023-10-31,14875
28831367,2023-10-31,8800
91953951,2023-10-31,14168
29475775,2023-10-31,15456
66742937,2023-10-31,11776
77292658,2023-10-31,17940
97129184,2023-10-31,8004
87349174,2023-10-31,0
19827944,2023-10-31,14720
44128241,2023-10-31,9100
56676495,2023-10-31,7360
76122669,2023-10-31,6992
64924278,2023-10-31,11040
33887521,2023-10-31,7500
58523489,2023-10-31,10120
37578216,2023-10-31,9000
64927237,2023-10-31,13248
92927114,2023-10-31,14628
29551475,2023-10-31,13000
73261696,2023-10-31,5610
54856638,2023-10-31,6900
71886692,2023-10-31,15640
59993412,2023-10-31,16100
25152848,2023-10-31,11000
62946476,2023-10-31,10335
67186896,2023-10-31,17100
56813111,2023-10-31,14790
11337977,2023-10-31,14400
82444653,2023-10-31,8783
68265654,2023-10-31,17400
71366669,2023-10-31,16500
78829459,2023-10-31,3845
59876342,2023-10-31,11960
49515185,2023-10-31,3575
79299633,2023-10-31,15180
58321416,2023-10-31,15456
47133515,2023-10-31,8188
69179948,2023-10-31,12328
18985873,2023-10-31,17500
27862464,2023-10-31,13616
24792736,2023-10-31,14352
28631468,2023-10-31,16800
14354965,2023-10-31,16000
37238831,2023-10-31,7084
16267874,2023-10-31,10400
44722256,2023-10-31,9750
86478534,2023-10-31,17296
11783697,2023-10-31,8250
76559346,2023-10-31,8648
95368712,2023-10-31,16560
88337312,2023-10-31,15456
14958562,2023-10-31,11040
21262355,2023-10-31,14720
18927328,2023-10-31,5687
17786845,2023-10-31,17296
95222648,2023-10-31,18676
